NALT_URI	Label
https://lod.nal.usda.gov/nalt/10499	ectoparasitoses
https://lod.nal.usda.gov/nalt/105004	Bosnia
https://lod.nal.usda.gov/nalt/105005	cacao solids
https://lod.nal.usda.gov/nalt/105016	Chaco Boreal
https://lod.nal.usda.gov/nalt/105020	food adulteration
https://lod.nal.usda.gov/nalt/105029	Endomycetales
https://lod.nal.usda.gov/nalt/105034	breeding areas
https://lod.nal.usda.gov/nalt/105046	fishery management
https://lod.nal.usda.gov/nalt/105051	Hypocrea jecorina
https://lod.nal.usda.gov/nalt/105054	Andean region
https://lod.nal.usda.gov/nalt/105066	Tetrapedia (bee)
https://lod.nal.usda.gov/nalt/105069	Scleroderma (wasp)
https://lod.nal.usda.gov/nalt/105072	Betula alba var. pumila
https://lod.nal.usda.gov/nalt/105077	Eurasian river otter
https://lod.nal.usda.gov/nalt/105081	smartweed borer
https://lod.nal.usda.gov/nalt/105085	pepper weevil
https://lod.nal.usda.gov/nalt/105088	local names
https://lod.nal.usda.gov/nalt/105113	brakes (mechanism)
https://lod.nal.usda.gov/nalt/10513	bisolvomycin
https://lod.nal.usda.gov/nalt/10519	antichagasic drugs
https://lod.nal.usda.gov/nalt/105193	analytes
https://lod.nal.usda.gov/nalt/105195	Soybean chlorotic mottle-like viruses
https://lod.nal.usda.gov/nalt/105196	cassava vein mosaic-like viruses
https://lod.nal.usda.gov/nalt/105197	Rice tungro bacilliform-like viruses
https://lod.nal.usda.gov/nalt/105198	Petunia vein clearing-like viruses
https://lod.nal.usda.gov/nalt/105219	GSHV (Ground squirrel hepatitis virus)
https://lod.nal.usda.gov/nalt/105223	WHV (Woodchuck hepatitis virus)
https://lod.nal.usda.gov/nalt/105226	WMHBV (Woolly monkey hepatitis B virus)
https://lod.nal.usda.gov/nalt/105229	AgaMooV (Anopheles gambiae Moose virus)
https://lod.nal.usda.gov/nalt/105230	AluTasV (Ascaris lumbricoides Tas virus)
https://lod.nal.usda.gov/nalt/105231	BmoPaoV (Bombyx mori Pao virus)
https://lod.nal.usda.gov/nalt/105232	CelCer13V (Caenorhabditis elegans Cer13 virus)
https://lod.nal.usda.gov/nalt/105241	CcaYoyV (Ceratitis capitata Yoyo virus)
https://lod.nal.usda.gov/nalt/105242	DmeGypV (Drosophila melanogaster Gypsy virus)
https://lod.nal.usda.gov/nalt/105243	DmeIdeV (Drosophila melanogaster Idefix virus)
https://lod.nal.usda.gov/nalt/105244	DmeTirV (Drosophila melanogaster Tirant virus)
https://lod.nal.usda.gov/nalt/105245	DmeZamV (Drosophila melanogaster Zam virus)
https://lod.nal.usda.gov/nalt/105246	Dme176V (Drosophila melanogaster 17.6 virus)
https://lod.nal.usda.gov/nalt/105247	DviTv1V (Drosophila virilis Tv1 virus)
https://lod.nal.usda.gov/nalt/105255	AthAthV (Arabidopsis thaliana Athila virus)
https://lod.nal.usda.gov/nalt/105256	AthTat4V (Arabidopsis thaliana Tat4 virus)
https://lod.nal.usda.gov/nalt/105257	DdiSkiV (Dictyostelium discoideum Skipper virus)
https://lod.nal.usda.gov/nalt/105258	DbuOsvV (Drosophila buzzatii Osvaldo virus)
https://lod.nal.usda.gov/nalt/105259	DmeBlaV (Drosophila melanogaster Blastopia virus)
https://lod.nal.usda.gov/nalt/10526	Antirrhinum boissieri
https://lod.nal.usda.gov/nalt/105260	DmeMdg3V (Drosophila melanogaster Mdg3 virus)
https://lod.nal.usda.gov/nalt/105261	TruSusV (Takifugu rubripes Sushi virus)
https://lod.nal.usda.gov/nalt/105267	extra-embryonic membranes
https://lod.nal.usda.gov/nalt/105270	chorion (insects)
https://lod.nal.usda.gov/nalt/105274	eggshell membranes
https://lod.nal.usda.gov/nalt/105290	pangolins
https://lod.nal.usda.gov/nalt/105293	photoaffinity labelling
https://lod.nal.usda.gov/nalt/105300	Dactylosphaera vastatrix
https://lod.nal.usda.gov/nalt/10531	Antirrhinum cymbalaria
https://lod.nal.usda.gov/nalt/105319	4-H Program
https://lod.nal.usda.gov/nalt/105321	heritage varieties
https://lod.nal.usda.gov/nalt/105324	CCD (colony collapse disorder)
https://lod.nal.usda.gov/nalt/105327	biorefinery
https://lod.nal.usda.gov/nalt/105338	Tilia heterophylla
https://lod.nal.usda.gov/nalt/105339	Tilia mexicana
https://lod.nal.usda.gov/nalt/105348	dwarf glasswort
https://lod.nal.usda.gov/nalt/10535	Antirrhinum purpureum
https://lod.nal.usda.gov/nalt/105351	petrol
https://lod.nal.usda.gov/nalt/105354	gasahol
https://lod.nal.usda.gov/nalt/105358	heating equipment
https://lod.nal.usda.gov/nalt/105365	TSV (Taura syndrome virus)
https://lod.nal.usda.gov/nalt/105368	SInV-1 (Solenopsis invicta virus-1)
https://lod.nal.usda.gov/nalt/10537	anti-sense RNA
https://lod.nal.usda.gov/nalt/10538	RNA gene products
https://lod.nal.usda.gov/nalt/105384	Infectious flacherie-like viruses
https://lod.nal.usda.gov/nalt/105406	BmoMagV (Bombyx mori Mag virus)
https://lod.nal.usda.gov/nalt/10545	behavioral problems
https://lod.nal.usda.gov/nalt/10547	antispasmodics
https://lod.nal.usda.gov/nalt/105488	Chimpanzee foamy virus
https://lod.nal.usda.gov/nalt/105494	EFV (Equine foamy virus)
https://lod.nal.usda.gov/nalt/10551	biotoxins
https://lod.nal.usda.gov/nalt/105510	pecan phylloxera
