Level	Label	1	2	3	4	5	6	7	8
2	hoof trimming		hoof trimming						
2	substance administration		substance administration						
3	oral gavage			oral gavage					
3	syringe feeding			syringe feeding					
2	urine collection		urine collection						
2	animal tissues		animal tissues						
3	skin (animal)			skin (animal)					
2	genotyping		genotyping						
2	drug injection		drug injection						
3	intracranial injection			intracranial injection					
3	intramuscular injection			intramuscular injection					
3	intraocular injection			intraocular injection					
4	intravitreal injection				intravitreal injection				
3	intraperitoneal injection			intraperitoneal injection					
3	intravenous injection			intravenous injection					
3	intrathecal injection			intrathecal injection					
3	intraventricular injection			intraventricular injection					
3	subcutaneous injection			subcutaneous injection					
3	fluid therapy			fluid therapy					
4	oral rehydration				oral rehydration				
4	hydration gels				hydration gels				
4	intravenous fluid therapy				intravenous fluid therapy				
2	diagnostic techniques		diagnostic techniques						
3	breath tests			breath tests					
3	clinical examination			clinical examination					
3	endoscopy			endoscopy					
3	exercise test			exercise test					
3	fecal examination			fecal examination					
3	glucose tolerance tests			glucose tolerance tests					
3	hearing tests			hearing tests					
3	hematologic tests			hematologic tests					
3	insulin tolerance tests			insulin tolerance tests					
3	kidney function tests			kidney function tests					
3	liver function tests			liver function tests					
3	medical history			medical history					
3	necropsy			necropsy					
3	pain tests			pain tests					
3	plethysmography			plethysmography					
3	psychological tests			psychological tests					
3	thyroid function tests			thyroid function tests					
3	urinalysis			urinalysis					
3	xenodiagnosis			xenodiagnosis					
3	biomedical imaging			biomedical imaging					
4	magnetic resonance imaging				magnetic resonance imaging				
4	tomography				tomography				
5	computed tomography					computed tomography			
6	micro-computed tomography						micro-computed tomography		
5	positron-emission tomography					positron-emission tomography			
3	genetic techniques and protocols			genetic techniques and protocols					
4	polymerase chain reaction				polymerase chain reaction				
2	animal tests		animal tests						
3	acute toxic class method			acute toxic class method					
3	behavioral despair tests			behavioral despair tests					
3	forced swimming test			forced swimming test					
3	tail suspension test			tail suspension test					
3	California mastitis test			California mastitis test					
3	elevated plus-maze test			elevated plus-maze test					
3	eye irritation tests			eye irritation tests					
3	fixed dose procedure			fixed dose procedure					
3	formalin test			formalin test					
3	hot plate test			hot plate test					
3	lethal concentration 50			lethal concentration 50					
3	local lymph node assay			local lymph node assay					
3	tail flick test			tail flick test					
3	local lymph node assay			local lymph node assay					
3	skin tests			skin tests					
4	patch test				patch test				
4	skin prick tests				skin prick tests				
2	medical treatment		medical treatment						
2	surgery		surgery						
3	postoperative care			postoperative care					
4	nutritional support				nutritional support				
5	nutritional gels					nutritional gels			
3	perioperative care			perioperative care					
3	preoperative care			preoperative care					
2	wound treatment		wound treatment						
3	debridement			debridement					
2	euthanasia		euthanasia						
2	asphyxia		asphyxia						
2	cervical dislocation		cervical dislocation						
2	decapitation		decapitation						
2	euthanasia injection		euthanasia injection						
2	equipment		equipment						
3	laboratory equipment			laboratory equipment					
3	medical and veterinary equipment			medical and veterinary equipment					
4	bandages				bandages				
4	cannulas				cannulas				
4	casts (medical)				casts (medical)				
4	catheters				catheters				
5	central venous catheters					central venous catheters			
4	contraceptives				contraceptives				
4	dental equipment				dental equipment				
4	diagnostic equipment				diagnostic equipment				
5	endoscopes					endoscopes			
4	medical equipment				medical equipment				
4	prostheses				prostheses				
4	splints (medical)				splints (medical)				
4	surgical equipment				surgical equipment				
5	scalpels					scalpels			
5	sutures					sutures			
4	syringes				syringes				
4	tourniquets				tourniquets				
4	veterinary equipment				veterinary equipment				
5	gavage needles					gavage needles			
5	metabolic cages					metabolic cages			
2	body fluids		body fluids						
3	digesta			digesta					
3	cerebrospinal fluid			cerebrospinal fluid					
3	intracellular fluids			intracellular fluids					
3	blood			blood					
4	blood cells				blood cells				
4	blood plasma				blood plasma				
3	lymph			lymph					
3	amniotic fluid			amniotic fluid					
3	follicular fluid			follicular fluid					
3	synovial fluid			synovial fluid					
3	oviductal fluids			oviductal fluids					
3	body water			body water					
3	extracellular fluids			extracellular fluids					
2	bodily secretions and exudates		bodily secretions and exudates						
3	bile			bile					
3	colostrum			colostrum					
3	defensive secretions			defensive secretions					
3	excreta			excreta					
4	feces				feces				
4	urine				urine				
3	gastric juice			gastric juice					
3	intestinal secretions			intestinal secretions					
3	maternal milk			maternal milk					
3	mucus			mucus					
3	pancreatic juice			pancreatic juice					
3	saliva			saliva					
3	sebum			sebum					
3	semen			semen					
3	sweat			sweat					
3	tears			tears					
3	venoms			venoms					
1	animal research	animal research							
2	replacement methods		replacement methods						
3	computer simulation			computer simulation					
3	artificial skin			artificial skin					
3	mathematical models			mathematical models					
4	nonlinear models				nonlinear models				
3	nonanimal tests			nonanimal tests					
4	human tissue use				human tissue use				
4	cell lines				cell lines				
5	bone marrow cells					bone marrow cells			
5	keratinocytes					keratinocytes			
5	kidney cells					kidney cells			
5	hepatocytes					hepatocytes			
5	stem cells					stem cells			
5	embryonic stem cells					embryonic stem cells			
4	assays				assays				
5	immunoassays					immunoassays			
6	enzyme immunoassays						enzyme immunoassays		
7	enzyme-linked immunosorbent assay							enzyme-linked immunosorbent assay	
3	microfluidic technology			microfluidic technology					
4	lab-on-a-chip technology				lab-on-a-chip technology				
3	in vitro culture			in vitro culture					
4	axenic culture				axenic culture				
4	explants				explants				
4	solid state culture				solid state culture				
4	organ-on-a-chip				organ-on-a-chip				
4	mixed culture				mixed culture				
4	cell culture				cell culture				
5	cell suspension culture					cell suspension culture			
5	cloning (cells)					cloning (cells)			
5	coculture					coculture			
5	protoplast fusion					protoplast fusion			
4	monoxenic culture				monoxenic culture				
4	embryo culture				embryo culture				
4	culture filtrates				culture filtrates				
4	tissue culture				tissue culture				
5	anther culture					anther culture			
5	ovule culture					ovule culture			
5	organ culture					organ culture			
6	organoids						organoids		
7	brain spheres							brain spheres	
4	enrichment culture				enrichment culture				
4	callus culture				callus culture				
2	antibodies		antibodies						
3	antibody production			antibody production					
4	hybridomas				hybridomas				
4	ascites				ascites				
3	antibody formation			antibody formation					
3	animal-friendly affinity reagents			animal-friendly affinity reagents					
2	toxicology		toxicology						
3	New Approach methodologies			New Approach methodologies					
3	risk analysis			risk analysis					
3	risk assessment			risk assessment					
3	aquatic organisms			aquatic organisms					
4	algae				algae				
3	nanotoxicology			nanotoxicology					
3	systems toxicology			systems toxicology					
3	pharmacodynamics			pharmacodynamics					
3	pharmacokinetics			pharmacokinetics					
3	computational toxicology			computational toxicology					
4	quantitative structure-activity relationships				quantitative structure-activity relationships				
4	read-across method				read-across method				
4	up-and-down procedure (UDP)				up-and-down procedure (UDP)				
3	in chemico tests			in chemico tests					
3	ecotoxicology			ecotoxicology					
4	indicator species				indicator species				
3	toxic substances			toxic substances					
4	pesticides				pesticides				
4	toxins				toxins				
5	microbial toxins					microbial toxins			
6	endotoxins						endotoxins		
7	delta-endotoxins							delta-endotoxins	
3	toxicity			toxicity					
4	acute toxicity				acute toxicity				
5	acute dermal toxicity					acute dermal toxicity			
5	acute inhalation toxicity					acute inhalation toxicity			
5	acute oral toxicity					acute oral toxicity			
5	eye irritation					eye irritation			
5	skin irritation					skin irritation			
4	carcinogenicity				carcinogenicity				
4	chronic toxicity				chronic toxicity				
4	cytotoxicity				cytotoxicity				
4	developmental toxicity				developmental toxicity				
5	embryotoxicity					embryotoxicity			
5	teratogenicity					teratogenicity			
4	drug toxicity				drug toxicity				
4	embryotoxicity				embryotoxicity				
4	genotoxicity				genotoxicity				
4	hepatotoxicity				hepatotoxicity				
4	irritant properties				irritant properties				
4	lethal dose				lethal dose				
5	lethal dose 50					lethal dose 50			
4	mutagenicity				mutagenicity				
4	nephrotoxicity				nephrotoxicity				
4	neurotoxicity				neurotoxicity				
4	no observed adverse effect level				no observed adverse effect level				
4	phototoxicity				phototoxicity				
4	subacute toxicity				subacute toxicity				
4	subchronic toxicity				subchronic toxicity				
4	sublethal effects				sublethal effects				
4	teratogenicity				teratogenicity				
3	toxicity testing			toxicity testing					
4	acute toxic class method				acute toxic class method				
4	bovine corneal opacity and permeability (eye irritation test)				bovine corneal opacity and permeability (eye irritation test)				
4	cytosensor microphysiometer assay				cytosensor microphysiometer assay				
4	direct peptide reactivity assay				direct peptide reactivity assay				
4	epiocular assay				epiocular assay				
4	fish embryo test				fish embryo test				
4	genomic allergen rapid detection				genomic allergen rapid detection				
4	genotoxicity tests				genotoxicity tests				
5	ames test					ames test			
5	comet assay					comet assay			
5	micronucleus tests					micronucleus tests			
5	yeast mutagenicity assay					yeast mutagenicity assay			
4	human cell line activation test (h-CLAT)				human cell line activation test (h-CLAT)				
4	inhibitory concentration 50				inhibitory concentration 50				
4	In Vitro 3T3 NRU Phototoxicity Test				In Vitro 3T3 NRU Phototoxicity Test				
4	KeratinoSens				KeratinoSens				
4	lethal concentration 50				lethal concentration 50				
4	maximum tolerated concentration				maximum tolerated concentration				
4	maximum tolerated dose				maximum tolerated dose				
4	neutral red uptake assay (NRU)				neutral red uptake assay (NRU)				
4	no observed adverse effect level				no observed adverse effect level				
4	receptor binding assay				receptor binding assay				
4	RTgill-W1 cell line assay				RTgill-W1 cell line assay				
4	short time exposure (STE) in vitro test method				short time exposure (STE) in vitro test method				
4	toxin-binding inhibition test (ToBI)				toxin-binding inhibition test (ToBI)				
4	Transcutaneous Electrical Resistance Test (TER)				Transcutaneous Electrical Resistance Test (TER)				
4	Vitrigel-Eye Irritancy Test (EIT)				Vitrigel-Eye Irritancy Test (EIT)				
3	risk analysis			risk analysis					
4	risk assessment				risk assessment				
3	products and commodities			products and commodities					
4	household products				household products				
4	nonfood products				nonfood products				
5	cosmetics					cosmetics			
5	personal care products					personal care products			
4	product quality				product quality				
5	product testing					product testing			
6	cosmetics testing						cosmetics testing		
6	safety testing						safety testing		
3	biocompatibility testing			biocompatibility testing					
4	Hen Egg Test–Chorionallantoic Membrane (HET-CAM)				Hen Egg Test–Chorionallantoic Membrane (HET-CAM)				
3	bioassays			bioassays					
4	Ames test				Ames test				
4	luminescent assay				luminescent assay				
5	bioluminescence assay					bioluminescence assay			
4	cell transformation assay				cell transformation assay				
4	frog embryo teratogenesis assay-Xenopus				frog embryo teratogenesis assay-Xenopus				
4	limulus amebocyte lysate assay				limulus amebocyte lysate assay				
4	viability assays				viability assays				
5	fungal viability assay					fungal viability assay			
3	biological models			biological models					
4	adverse outcome pathways				adverse outcome pathways				
4	Integrated Approaches to Testing and Assessment				Integrated Approaches to Testing and Assessment				
4	physiology based pharmacodynamic models (PBPD)				physiology based pharmacodynamic models (PBPD)				
4	physiologically based pharmacokinetic models (PBPK)				physiologically based pharmacokinetic models (PBPK)				
4	QIVIVE (quantitative in vitro to in vivo extrapolation)				QIVIVE (quantitative in vitro to in vivo extrapolation)				
3	mathematical models			mathematical models					
4	artificial neural networks				artificial neural networks				
2	experimental design		experimental design						
3	sample size			sample size					
3	ARRIVE guidelines			ARRIVE guidelines					
3	PREPARE guidelines			PREPARE guidelines					
3	pilot studies			pilot studies					
3	mathematics and statistics			mathematics and statistics					
4	analytical methods				analytical methods				
4	prediction				prediction				
4	statistical methods				statistical methods				
5	Bayesian theory					Bayesian theory			
5	biostatistics					biostatistics			
6	sensometrics						sensometrics		
5	descriptive statistics					descriptive statistics			
5	estimation					estimation			
5	frequency distribution					frequency distribution			
5	normal values					normal values			
5	probability					probability			
5	statistical analysis					statistical analysis			
5	stochastic processes					stochastic processes			
5	variance					variance			
4	diseases and disorders (animal and human)				diseases and disorders (animal and human)				
5	noninfectious diseases					noninfectious diseases			
6	metabolic diseases						metabolic diseases		
7	dehydration (animal physiology)							dehydration (animal physiology)	
4	animal comfort				animal comfort				
5	artificial habitats					artificial habitats			
6	ambient temperature						ambient temperature		
4	animal control services				animal control services				
4	animal well-being				animal well-being				
4	animal anatomy				animal anatomy				
4	animal physiology				animal physiology				
5	animal reproduction					animal reproduction			
6	litters (young animals)						litters (young animals)		
2	biological properties and phenomena		biological properties and phenomena						
3	body temperature			body temperature					
4	body temperature changes				body temperature changes				
5	fever					fever			
5	hypothermia					hypothermia			
2	breeding and genetic improvement		breeding and genetic improvement						
2	chemical substances		chemical substances						
3	biochemical compounds			biochemical compounds					
4	biomarkers				biomarkers				
4	enzymes				enzymes				
2	genetic lines		genetic lines						
3	cell lines			cell lines					
4	animal cell lines				animal cell lines				
5	human cell lines					human cell lines			
3	line differences			line differences					
2	strains		strains						
3	strain differences			strain differences					
2	humane endpoints		humane endpoints						
3	adoption programs			adoption programs					
3	euthanasia			euthanasia					
2	animal experimentation		animal experimentation						
3	vivisection			vivisection					
2	animal models		animal models						
3	animal disease models			animal disease models					
3	preclinical animal models			preclinical animal models					
2	laboratory experimentation		laboratory experimentation						
2	protocols		protocols						
2	validation of alternative methods		validation of alternative methods						
2	translational medical research		translational medical research						
3	translational value			translational value					
2	telemetry		telemetry						
3	biotelemetry			biotelemetry					
2	ethics		ethics						
3	bioethics			bioethics					
3	whistleblowing			whistleblowing					
1	animal welfare	animal welfare							
2	pain management		pain management						
3	analgesic effect			analgesic effect					
3	sedation			sedation					
3	welfare assessment			welfare assessment					
3	grimace scale			grimace scale					
3	nest scoring (welfare)			nest scoring (welfare)					
